blastcode,burden,optimized_burden,spacing,optimized_spacing,total_explosive_kg,optimized_explosive,total_cost
18,8.0,8.0,9.0,9.0,16227.0,16227.0,1775700.0
36,4.5,4.5,5.0,5.0,22658.14,22658.14,3459814.0
52,7.0,7.0,10.0,10.0,30659.5,30659.5,3397450.0
53,6.5,6.5,10.0,10.0,25049.0,25049.0,2770900.0
54,8.0,8.0,10.0,10.0,22405.5,22405.5,2487550.0
63,8.0,8.0,10.0,10.0,22487.49,22487.49,2505249.0
72,8.0,8.0,10.0,10.0,9017.5,9017.5,996750.0
73,8.0,8.0,10.0,10.0,25942.5,25942.5,2879250.0
84,8.5,8.5,9.0,9.0,12344.5,12344.5,1367450.0
92,8.0,8.0,9.5,9.5,12204.5,12204.5,1346450.0
97,8.0,8.0,10.0,10.0,15289.63,15289.63,1690463.0
111,8.0,8.0,10.0,10.0,11224.5,11224.5,1255450.0
116,9.0,9.0,9.0,9.0,18937.8,18937.8,2098530.0
137,8.5,8.5,9.0,9.0,23846.2,23846.2,2657620.0
150,8.5,8.5,9.0,9.0,12826.4,12826.4,1426640.0
167,8.0,8.0,10.0,10.0,16898.42,16898.42,1887841.9999999998
169,8.0,8.0,11.0,11.0,16168.9,16168.9,1787390.0
170,8.0,8.0,9.0,9.0,21990.7,21990.7,2445570.0
174,8.5,8.5,9.0,9.0,16885.0,16885.0,1878500.0
186,8.6,8.6,9.0,9.0,21471.6,21471.6,2375160.0
192,8.7,8.7,9.0,9.0,8737.5,8737.5,963750.0
196,9.0,9.0,10.0,10.0,8115.75,8115.75,897075.0
197,8.0,8.0,9.0,9.0,14026.0,14026.0,1562600.0
205,8.0,8.0,9.0,9.0,17284.5,17284.5,1923950.0
206,8.0,8.0,9.0,9.0,4860.5,4860.5,542050.0
224,8.0,8.0,9.0,9.0,15100.4,15100.4,1673040.0
229,8.0,8.0,9.0,9.0,29458.8,29458.8,3284280.0
236,8.35,8.35,9.0,9.0,17175.9,17175.9,1908690.0000000002
237,8.96,8.96,10.31,10.31,17786.37,17786.37,1978137.0
240,8.75,8.75,8.2,8.2,17789.94,17789.94,1978493.9999999998
244,9.0,9.0,9.0,9.0,6424.39,6424.39,709289.0
245,8.0,8.0,9.0,9.0,15225.3,15225.3,1693530.0
248,8.0,8.0,9.0,9.0,5212.0,5212.0,581200.0
249,8.5,8.5,9.0,9.0,9110.04,9110.04,1007004.0000000001
250,8.0,8.0,9.0,9.0,10518.9,10518.9,1171890.0
251,7.5,7.5,8.5,8.5,16269.05,16269.05,1845405.0
252,8.0,8.0,9.0,9.0,10712.1,10712.1,1191610.0
253,8.5,8.5,9.0,9.0,35829.64,35829.64,4000964.0
254,8.0,8.0,9.0,9.0,6814.08,6814.08,757408.0
255,8.5,8.5,9.0,9.0,11772.88,11772.88,1306788.0
256,9.0,9.0,10.0,10.0,25145.4,25145.4,2780540.0
257,8.5,8.5,9.0,9.0,20861.04,20861.04,2314104.0
258,8.0,8.0,10.0,10.0,19615.64,19615.64,2170564.0
259,8.5,8.5,9.0,9.0,22917.96,22917.96,2538796.0
260,8.5,8.5,9.0,9.0,16568.0,16568.0,1837300.0
261,8.5,8.5,9.0,9.0,21572.5,21572.5,2394750.0
263,8.5,8.5,9.0,9.0,22481.28,22481.28,2504628.0
264,8.0,8.0,10.0,10.0,19606.4,19606.4,2169640.0
265,8.5,8.5,9.0,9.0,19294.32,19294.32,2157432.0
266,8.0,8.0,9.0,9.0,19240.08,19240.08,2152008.0
267,8.25,8.25,9.0,9.0,22975.68,22975.68,2563568.0
268,8.5,8.5,9.0,9.0,12123.0,12123.0,1343550.0
269,8.5,8.5,9.0,9.0,10420.93,10420.93,1159093.0
272,8.9,8.9,9.0,9.0,22619.28,22619.28,2489928.0
273,8.5,8.5,8.5,8.5,10218.72,10218.72,1135872.0
274,8.5,8.5,9.0,9.0,8116.11,8116.11,897111.0
275,9.0,9.0,9.0,9.0,31451.02,31451.02,3476602.0
276,8.5,8.5,8.5,8.5,24049.5,24049.5,2674950.0
277,8.0,8.0,9.0,9.0,9819.6,9819.6,1114960.0
280,8.5,8.5,9.0,9.0,40881.07,40881.07,4534607.0
281,9.0,9.0,9.0,9.0,19882.08,19882.08,2194608.0
283,8.3,8.3,10.0,10.0,12314.12,12314.12,1361612.0
284,8.5,8.5,9.0,9.0,29457.45,29457.45,3259245.0
285,8.5,8.5,9.5,9.5,20749.91,20749.91,2293491.0
286,8.5,8.5,9.0,9.0,21038.4,21038.4,2319840.0
287,8.5,8.5,9.0,9.0,23074.75,23074.75,2551225.0
288,8.6,8.6,9.0,9.0,20157.94,20157.94,2224794.0
290,8.0,8.0,8.75,8.75,49012.5,49012.5,5501250.0
325,8.5,8.5,10.5,10.5,22145.5,22145.5,2474550.0
326,7.78,7.78,11.87,11.87,28107.75,28107.75,3132525.0
359,8.5,8.5,11.08,11.08,38408.87,38408.87,4299137.0
364,8.17,8.17,9.74,9.74,35432.0,35432.0,3933200.0
373,7.27,7.27,10.06,10.06,8918.2,8918.2,989320.0000000001
444,8.22,8.22,9.75,9.75,19181.36,19181.36,2127136.0
488,5.92,5.92,10.44,10.44,17189.97,17189.97,1923747.0
567,6.42,6.42,10.13,10.13,7216.16,7216.16,797616.0
631,6.25,6.25,9.7,9.7,21374.08,21374.08,2384408.0
638,6.67,6.67,9.52,9.52,18942.42,18942.42,2093741.9999999998
640,8.0,8.0,9.0,9.0,11706.2,11706.2,1330120.0
641,7.0,7.0,8.0,8.0,3127.4,3127.4,382740.0
643,4.0,4.0,4.5,4.5,781.2,781.2,120120.0
645,8.5,8.5,9.0,9.0,10679.5,10679.5,1191450.0
646,5.2,5.2,5.5,5.5,640.8,640.8,88080.0
647,4.5,4.5,4.5,4.5,991.8,991.8,151380.0
648,8.0,8.0,8.0,8.0,10352.3,10352.3,1173230.0
649,6.5,6.5,6.8,6.8,4779.6,4779.6,573960.0
650,8.5,8.5,9.0,9.0,11620.98,11620.98,1295098.0
652,8.5,8.5,9.0,9.0,11170.1,11170.1,1297510.0
657,7.98,7.98,10.57,10.57,9369.25,9369.25,1041425.0
658,8.0,8.0,9.0,9.0,13206.88,13206.88,1472688.0
659,4.0,4.0,5.0,5.0,721.2,721.2,113520.0
661,9.0,9.0,9.5,9.5,31725.75,31725.75,3501575.0
663,2.5,2.5,2.8,2.8,641.6,641.6,104160.0
665,4.5,4.5,5.0,5.0,6285.5,6285.5,1018550.0
793,4.5,4.5,5.0,5.0,4907.7,4907.7,685520.0
794,4.0,4.0,4.5,4.5,2929.5,2929.5,450450.0
797,4.0,4.0,4.0,4.0,12083.4,12083.4,2030340.0
803,3.9,3.9,4.0,4.0,16642.6,16642.6,2650360.0
808,9.0,9.0,9.5,9.5,11061.6,11061.6,1220160.0
814,4.0,4.0,5.0,5.0,9168.3,9168.3,1447530.0
819,4.0,4.0,405.0,405.0,24494.4,24494.4,3961440.0
826,4.0,4.0,5.0,5.0,3030.5,3030.5,495550.0
827,4.0,4.0,4.5,4.5,21220.5,21220.5,3412050.0
828,4.0,4.0,4.5,4.5,16282.5,16282.5,2603250.0
829,4.0,4.0,4.5,4.5,2090.4,2090.4,391040.0
831,4.0,4.0,5.0,5.0,9914.4,9914.4,1639440.0
832,4.0,4.0,4.0,4.0,12123.8,12123.8,1992380.0
833,3.0,3.0,4.0,4.0,200.5,200.5,37550.0
834,8.25,8.25,9.0,9.0,27270.0,27270.0,2983500.0
835,7.58,7.58,8.52,8.52,15339.78,15339.78,1704978.0
836,6.14,6.14,10.03,10.03,16191.99,16191.99,1799699.0
837,6.69,6.69,9.61,9.61,24714.09,24714.09,2746909.0
838,5.28,5.28,10.45,10.45,34088.4,34088.4,3788840.0
839,8.85,8.85,7.14,7.14,26418.51,26418.51,2936351.0
842,7.19,7.19,9.79,9.79,24602.4,24602.4,2716740.0
857,4.0,4.0,4.2,4.2,6012.0,6012.0,961200.0
858,3.9,3.9,4.2,4.2,4750.9,4750.9,777590.0
859,5.5,5.5,6.0,6.0,2705.4,2705.4,378540.0
860,5.5,5.5,6.0,6.0,3005.0,3005.0,419250.0
862,5.0,5.0,5.5,5.5,1754.0,1754.0,275400.0
863,5.0,5.0,6.0,6.0,2095.0,2095.0,309500.0
864,3.5,3.5,4.0,4.0,9624.0,9624.0,1562400.0
865,2.0,2.0,2.5,2.5,971.8,971.8,351430.0
962,6.91,6.91,9.87,9.87,18748.84,18748.84,2083884.0
963,10.58,10.58,9.57,9.57,16620.2,16620.2,1852020.0
964,9.5,9.5,10.0,10.0,13629.44,13629.44,1514944.0
965,9.5,9.5,11.0,11.0,14395.6,14395.6,1601060.0
966,4.0,4.0,4.5,4.5,801.6,801.6,132160.0
967,6.69,6.69,9.99,9.99,21305.5,21305.5,2368050.0
1006,6.14,6.14,8.22,8.22,24468.92,24468.92,2741392.0
1007,5.16,5.16,11.54,11.54,20356.38,20356.38,2265138.0
1008,7.12,7.12,9.73,9.73,11931.08,11931.08,1326108.0
1033,6.15,6.15,8.59,8.59,10736.85,10736.85,1239690.0
1048,6.1,6.1,8.54,8.54,12526.65,12526.65,1461915.0
1049,6.92,6.92,11.56,11.56,12628.28,12628.28,1395828.0
1050,8.05,8.05,8.84,8.84,11931.08,11931.08,1326108.0
1068,6.01,6.01,8.7,8.7,18309.48,18309.48,2030448.0
1081,7.94,7.94,9.21,9.21,31570.7,31570.7,3489570.0
1082,6.52,6.52,8.32,8.32,23311.96,23311.96,2597196.0
1083,7.35,7.35,10.94,10.94,11421.84,11421.84,1256184.0
1091,8.06,8.06,8.75,8.75,16037.12,16037.12,1774712.0
1093,7.98,7.98,10.4,10.4,21108.75,21108.75,2348375.0
1096,6.6,6.6,8.91,8.91,9772.18,9772.18,1072218.0
1107,6.35,6.35,9.96,9.96,22467.76,22467.76,2512776.0
1108,6.19,6.19,9.41,9.41,9287.85,9287.85,1033285.0
1145,8.72,8.72,11.07,11.07,25538.0,25538.0,2791300.0
1163,8.25,8.25,10.34,10.34,12801.3,12801.3,1422630.0
1168,9.26,9.26,9.0,9.0,12506.55,12506.55,1393155.0
1197,7.01,7.01,6.11,6.11,10824.24,10824.24,1196424.0
1198,7.41,7.41,7.11,7.11,17138.38,17138.38,1894338.0
1199,8.6,8.6,8.3,8.3,22550.5,22550.5,2492550.0
1200,6.78,6.78,7.75,7.75,17138.38,17138.38,1894338.0
1223,8.26,8.26,7.48,7.48,11094.46,11094.46,1232946.0
1224,8.31,8.31,8.96,8.96,17921.82,17921.82,1991682.0
1229,10.31,10.31,6.75,6.75,21648.48,21648.48,2392848.0
1234,7.8,7.8,11.05,11.05,10241.04,10241.04,1138104.0
1235,6.12,6.12,8.42,8.42,8665.25,8665.25,971025.0
1239,6.97,6.97,9.0,9.0,11031.6,11031.6,1217160.0
1242,7.9,7.9,8.01,8.01,8631.4,8631.4,958140.0
1247,8.59,8.59,7.79,7.79,8403.1,8403.1,935310.0
1248,7.48,7.48,8.33,8.33,23452.52,23452.52,2592252.0
1251,6.75,6.75,7.75,7.75,16214.98,16214.98,1801998.0
1253,8.49,8.49,7.55,7.55,8534.2,8534.2,948420.0000000001
1254,6.71,6.71,6.21,6.21,10583.3,10583.3,1191330.0
1254,5.06,5.06,7.47,7.47,10583.3,10583.3,1191330.0
1259,6.57,6.57,7.48,7.48,17518.87,17518.87,1970387.0
1260,7.66,7.66,8.26,8.26,16214.98,16214.98,1801998.0
1273,9.52,9.52,6.64,6.64,9769.2,9769.2,1090920.0
1289,7.12,7.12,7.63,7.63,14970.1,14970.1,1677510.0
1290,7.84,7.84,8.63,8.63,20689.5,20689.5,2306450.0
1309,11.45,11.45,7.29,7.29,5981.11,5981.11,700111.0
1332,16.97,16.97,16.16,16.16,8568.63,8568.63,942362.9999999999
1348,6.73,6.73,11.06,11.06,13420.54,13420.54,1475054.0
1350,3.58,3.58,5.13,5.13,3664.07,3664.07,550907.0
1742,7.19,7.19,9.48,9.48,10245.36,10245.36,1138536.0
1752,8.29,8.29,9.77,9.77,12628.28,12628.28,1395828.0
1753,7.1,7.1,10.64,10.64,10680.64,10680.64,1182064.0
1792,7.51,7.51,10.66,10.66,29991.18,29991.18,3350618.0
1794,6.97,6.97,8.41,8.41,6627.04,6627.04,738704.0
1795,5.08,5.08,9.58,9.58,10727.22,10727.22,1196222.0
1841,5.57,5.57,8.87,8.87,15079.55,15079.55,1669955.0
2003,8.18,8.18,9.98,9.98,15361.56,15361.56,1707156.0
2004,6.8,6.8,10.71,10.71,9387.62,9387.62,1043262.0000000001
2005,9.59,9.59,8.39,8.39,13654.72,13654.72,1517472.0
2040,3.34,3.34,3.55,3.55,4360.5,4360.5,691050.0
2051,5.98,5.98,8.0,8.0,3955.84,3955.84,555584.0
2052,9.49,9.49,10.23,10.23,21620.69,21620.69,2380569.0
2054,4.05,4.05,8.66,8.66,6799.5,6799.5,765450.0
2066,11.0,11.0,12.0,12.0,9271.5,9271.5,1302150.0
2072,6.58,6.58,11.71,11.71,8812.21,8812.21,985720.9999999999
2082,7.09,7.09,10.31,10.31,12428.66,12428.66,1385366.0
2084,9.15,9.15,11.04,11.04,15240.66,15240.66,1704566.0
2085,7.69,7.69,10.54,10.54,19913.96,19913.96,2238396.0
2102,5.43,5.43,10.91,10.91,10542.78,10542.78,1187278.0
2130,5.76,5.76,8.93,8.93,17280.08,17280.08,1918008.0000000002
2131,6.15,6.15,8.8,8.8,6418.96,6418.96,713896.0
2202,6.73,6.73,8.48,8.48,11081.27,11081.27,1279127.0
2203,5.69,5.69,9.45,9.45,12465.81,12465.81,1389081.0
2204,6.23,6.23,8.88,8.88,13884.1,13884.1,1540410.0
2227,5.52,5.52,5.9,5.9,2204.8,2204.8,281480.0
2228,6.6,6.6,7.68,7.68,12782.55,12782.55,1420755.0
2229,5.53,5.53,7.85,7.85,9732.04,9732.04,1077704.0
2230,5.85,5.85,8.29,8.29,15787.98,15787.98,1749798.0
2239,6.75,6.75,7.75,7.75,11223.04,11223.04,1258304.0
2267,6.63,6.63,4.88,4.88,9619.2,9619.2,1085420.0
2267,6.06,6.06,8.75,8.75,9619.2,9619.2,1085420.0
2304,7.41,7.41,8.69,8.69,19525.6,19525.6,2142560.0
2305,6.48,6.48,5.79,5.79,8416.8,8416.8,1009679.9999999999
2306,7.29,7.29,8.51,8.51,13530.9,13530.9,1495590.0
2307,3.65,3.65,4.61,4.61,3006.0,3006.0,390600.0
2308,6.45,6.45,8.42,8.42,11422.68,11422.68,1256268.0
2324,8.01,8.01,7.51,7.51,11823.24,11823.24,1315324.0
2344,7.33,7.33,8.93,8.93,11228.48,11228.48,1274848.0
2345,6.24,6.24,8.5,8.5,8421.36,8421.36,944136.0
2346,9.03,9.03,8.05,8.05,13857.6,13857.6,1537760.0
2347,3.71,3.71,5.08,5.08,3397.0,3397.0,444200.0
2348,8.11,8.11,8.3,8.3,12865.69,12865.69,1448569.0
2373,3.59,3.59,4.56,4.56,3919.2,3919.2,501170.0
2374,7.88,7.88,8.2,8.2,10611.3,10611.3,1184630.0
2408,8.78,8.78,7.9,7.9,8668.55,8668.55,968854.9999999999
2409,3.86,3.86,4.58,4.58,4410.5,4410.5,591400.0
2410,6.98,6.98,7.91,7.91,13610.22,13610.22,1532522.0
2411,14.42,14.42,16.36,16.36,7615.2,7615.2,854520.0
2412,7.44,7.44,8.17,8.17,6944.4,6944.4,775440.0
2417,6.68,6.68,10.47,10.47,8918.53,8918.53,1007753.0000000001
2418,9.97,9.97,10.6,10.6,4509.0,4509.0,507900.0
2429,7.25,7.25,6.73,6.73,11272.5,11272.5,1269750.0
2430,7.2,7.2,9.3,9.3,11192.4,11192.4,1246490.0
2464,2.97,2.97,4.81,4.81,1152.3,1152.3,172730.0
2465,5.34,5.34,8.9,8.9,6343.4,6343.4,706340.0
2466,5.63,5.63,7.72,7.72,7214.4,7214.4,806940.0
2467,7.52,7.52,8.67,8.67,7214.4,7214.4,806940.0
2468,5.8,5.8,9.13,9.13,11222.4,11222.4,1255240.0
2469,5.89,5.89,9.13,9.13,22444.8,22444.8,2510480.0
2526,6.08,6.08,6.9,6.9,12775.5,12775.5,1420050.0
2527,8.62,8.62,6.82,6.82,17885.7,17885.7,1988070.0
2528,6.08,6.08,12.84,12.84,9018.0,9018.0,1014300.0
2529,7.2,7.2,7.57,7.57,13627.2,13627.2,1514720.0
2557,6.71,6.71,8.7,8.7,8017.0,8017.0,896700.0
2558,4.61,4.61,7.74,7.74,8757.43,8757.43,980743.0
2559,5.76,5.76,8.23,8.23,8016.0,8016.0,894600.0
2560,6.33,6.33,7.14,7.14,13627.2,13627.2,1514720.0
2561,6.79,6.79,8.82,8.82,15330.6,15330.6,1704060.0
2562,5.36,5.36,8.34,8.34,17885.7,17885.7,1988070.0
2563,5.87,5.87,9.04,9.04,6863.7,6863.7,772120.0
2564,16.38,16.38,12.23,12.23,19238.4,19238.4,2151840.0
2580,3.67,3.67,4.43,4.43,3157.5,3157.5,439500.0
2581,6.42,6.42,7.89,7.89,11222.4,11222.4,1253455.0
2582,6.12,6.12,7.89,7.89,8416.8,8416.8,946679.9999999999
2583,7.19,7.19,8.48,8.48,14478.9,14478.9,1609390.0
2584,5.98,5.98,9.88,9.88,8016.0,8016.0,894100.0
2585,7.08,7.08,9.15,9.15,13528.35,13528.35,1495335.0
2621,6.5,6.5,6.37,6.37,9479.69,9479.69,1052469.0
2622,7.17,7.17,9.43,9.43,8516.9,8516.9,956690.0
2623,7.47,7.47,9.66,9.66,32214.52,32214.52,3585702.0
2624,5.74,5.74,8.87,8.87,7876.08,7876.08,889608.0
2625,5.09,5.09,8.13,8.13,11222.84,11222.84,1248284.0
2626,6.96,6.96,8.24,8.24,9419.08,9419.08,1046908.0
2646,5.59,5.59,4.17,4.17,961.6,961.6,152160.0
2647,7.19,7.19,7.75,7.75,10861.58,10861.58,1209658.0
2648,8.5,8.5,11.1,11.1,8818.7,8818.7,985875.0000000001
2649,5.75,5.75,10.17,10.17,16182.3,16182.3,1798730.0
2650,4.7,4.7,6.26,6.26,7605.3,7605.3,846030.0
2651,6.96,6.96,8.38,8.38,9619.2,9619.2,1075920.0
2652,5.72,5.72,7.26,7.26,10992.77,10992.77,1264277.0
2653,6.33,6.33,8.69,8.69,12925.5,12925.5,1435300.0
2654,6.11,6.11,9.18,9.18,10220.4,10220.4,1136040.0
2663,5.3,5.3,7.6,7.6,10600.9,10600.9,1177590.0
2664,4.21,4.21,8.57,8.57,9549.1,9549.1,1062160.0
2676,6.39,6.39,9.07,9.07,9368.7,9368.7,1041370.0000000001
2677,4.38,4.38,8.38,8.38,6813.6,6813.6,757360.0
2678,6.88,6.88,7.52,7.52,6022.9,6022.9,701790.0
2680,8.5,8.5,7.85,7.85,12825.6,12825.6,1434560.0
2708,4.54,4.54,6.92,6.92,2028.16,2028.16,242816.0
2712,6.74,6.74,9.25,9.25,8726.6,8726.6,971660.0
2717,5.91,5.91,8.6,8.6,16939.83,16939.83,1874483.0000000002
2728,6.0,6.0,6.07,6.07,8253.84,8253.84,922884.0
2729,7.11,7.11,9.24,9.24,20932.35,20932.35,2343235.0
2730,7.1,7.1,8.17,8.17,4871.62,4871.62,541162.0
2730,4.0,4.0,8.56,8.56,4871.62,4871.62,541162.0
2738,9.2,9.2,8.32,8.32,9265.56,9265.56,1034556.0
2745,7.4,7.4,7.14,7.14,14486.89,14486.89,1610189.0
2756,6.46,6.46,9.69,9.69,5965.12,5965.12,663012.0
2775,8.38,8.38,7.9,7.9,13081.89,13081.89,1459939.0
2776,3.8,3.8,9.7,9.7,11078.21,11078.21,1231321.0
2777,6.26,6.26,10.69,10.69,12714.62,12714.62,1421212.0
2778,10.64,10.64,4.17,4.17,16425.4,16425.4,1842655.0000000002
2778,6.72,6.72,7.8,7.8,16425.4,16425.4,1842655.0000000002
2779,5.03,5.03,8.68,8.68,10205.64,10205.64,1134564.0
2780,5.15,5.15,10.59,10.59,8553.17,8553.17,958367.0
2782,14.0,14.0,15.68,15.68,8521.6,8521.6,947160.0
2783,7.76,7.76,6.67,6.67,11930.24,11930.24,1326024.0
2786,5.64,5.64,9.27,9.27,13636.0,13636.0,1515600.0
2835,15.02,15.02,9.01,9.01,13078.8,13078.8,1450380.0
2836,6.36,6.36,7.96,7.96,10539.66,10539.66,1177466.0
2837,4.93,4.93,8.93,8.93,10730.19,10730.19,1195019.0
2838,6.95,6.95,7.33,7.33,6817.28,6817.28,757728.0
