burden,spacing,hole_depth,sremming_length,bench_height,column_charge_density,rock_density,total_rows,hole_blasted,face_length,powder_factor,column_charge,avg_col_weight,drill_factor,production_ton_theoretical,ppv,total_drill_mtr,fragmentation_p80,theoretical_pf,blast_accessories_cost,drilling_cost,frag_in_range,frag_over_size,flyrock,air_blast,total_exp_cost,total_explosive_kg,burden_to_spacing_ratio,explosive_per_hole,charge_per_volume
8.0,10.0,18.0,6.14,19.0,1.15,2.35,2.0,22,0.0,4.24,2,766.36,198.44,78584.0,4.27,396.0,1160.0,4.65,3880.8,149750.0,0.0,0.0,20.0,96.0,1311495.0,16898.42,0.8,768.1099999999999,11.117381578947366
8.5,11.08,19.5,6.22,20.0,1.15,2.35,6.0,47,250.0,5.42,2,815.46,227.0,208043.62,61.0,916.5,716.0,5.42,11830.8,458250.0,80.0,10.0,20.0,2.0,2962344.0,38408.87,0.7671480144404332,817.21,20.391203015502228
7.19,9.79,19.0,12.06,19.0,1.15,2.35,6.0,27,40.0,0.0,2,909.45,165.42,84858.78,18.0,513.0,802.0,3.45,5681.6,0.0,80.0,10.0,0.1,2.0,1437669.41,24602.4,0.7344228804902964,911.2,18.395529455061677
6.69,9.99,19.0,12.51,19.0,1.15,2.35,6.0,25,40.0,3.5,2,850.47,157.06,74602.44,20.0,475.0,845.0,3.5,7654.0,237500.0,80.0,10.0,0.1,2.0,1232436.0,21305.5,0.6696696696696697,852.22,16.778244691076097
6.1,8.54,9.3,6.78,14.0,1.15,2.35,5.0,45,40.0,4.04,2,277.87,184.29,77125.17,20.8,418.5,969.0,6.16,13358.6,209250.0,80.0,10.0,0.1,30.0,9922.5,12526.65,0.7142857142857143,278.37,17.175888092404392
5.91,8.6,19.0,6.21,19.0,1.15,2.35,4.0,19,65.21,5.19,2,889.78,243.34,87844.2,5.1,361.0,849.0,5.19,2920.0,180500.0,0.0,0.0,17.0,122.0,990464.3,16939.83,0.6872093023255814,891.57,17.541612560500536
7.11,9.24,16.67,8.6,17.0,1.15,2.35,7.0,30,52.29,4.78,2,696.35,192.75,96377.38,11.07,500.0,434.0,4.6,5523.84,250000.0,87.0,3.5,16.0,127.0,1223819.0,20932.35,0.7694805194805195,697.745,18.742498917480297
7.1,8.17,18.0,12.8,16.0,1.4,2.35,2.0,2,41.56,5.33,1,829.57,240.53,25976.97,5.0,108.0,378.0,5.33,2069.76,54000.0,89.0,1.0,21.0,135.0,919493.9,4871.62,0.8690330477356181,2435.81,5.2489570224283275
4.0,8.56,18.0,6.38,16.0,1.15,2.35,2.0,4,41.56,5.33,2,800.67,240.53,25976.97,5.0,108.0,378.0,5.33,2069.76,54000.0,89.0,1.0,21.0,135.0,919493.9,4871.62,0.4672897196261682,1217.905,8.892413843457943
9.2,8.32,18.0,12.11,18.0,1.15,2.35,2.0,12,40.0,5.99,2,770.53,256.87,55484.13,12.01,216.0,356.0,5.99,2419.2,108000.0,86.0,2.0,11.0,127.0,541982.2,9265.56,1.1057692307692306,772.13,6.724933807134894
7.4,7.14,19.0,6.01,19.0,1.15,2.35,5.0,17,39.57,5.75,2,850.47,257.84,83282.4,4.7,323.0,356.0,5.75,4798.08,161500.0,0.0,0.0,16.5,135.0,846970.9,14486.89,1.0364145658263306,852.17,14.43084061505114
6.77,6.83,18.0,6.76,18.0,1.15,2.35,1.0,7,47.88,4.575,2,800.67,0.0,0.0,6.01,0.0,802.0,4.625,1975.68,63000.0,0.0,0.0,16.0,138.0,328329.8,14830.183499999996,0.9912152269399707,0.0,0.0
8.38,7.9,15.97,6.46,19.0,1.15,1.65,5.0,19,39.92,4.37,2,687.15,188.51,57214.0,13.09,303.5,1070.0,4.37,1948.8,151750.0,44.0,1.0,11.0,125.0,764813.8,13081.89,1.0607594936708862,688.5205263157894,10.400297971598885
6.26,10.69,14.98,10.13,15.0,1.15,2.35,6.0,20,38.82,6.1,2,634.45,258.91,77542.79,4.73,299.5,374.0,6.1,3035.8,149750.0,89.0,2.0,14.7,114.8,743488.3,12714.62,0.5855940130963517,635.731,12.66660091592772
10.64,4.17,10.0,8.11,15.0,1.4,2.35,4.0,1,62.88,3.37,1,299.92,138.41,55395.87,8.2,400.23,947.0,3.37,6071.6,200115.0,83.0,5.0,9.0,124.78,1074181.0,16425.4,2.551558752997602,16425.4,24.68010553962845
6.72,7.8,16.97,6.12,15.0,1.15,2.35,4.0,23,62.88,3.37,2,699.78,138.41,55395.87,8.2,400.23,947.0,3.37,6071.6,200115.0,83.0,5.0,9.0,124.78,1074181.0,16425.4,0.8615384615384615,714.1478260869566,20.891076516076517
5.03,8.68,19.0,6.01,19.0,1.15,2.35,2.0,12,57.05,0.0,2,850.47,152.78,34834.07,4.91,228.0,1420.0,3.41,4192.56,133000.0,93.0,5.0,0.1,116.2,588865.43,10205.64,0.5794930875576038,850.4699999999999,12.302657496688555
5.15,10.59,17.18,8.04,19.0,1.15,2.35,2.0,12,67.77,5.12,2,712.76,212.29,43752.46,4.68,206.1,498.0,5.12,2851.04,103050.0,82.0,5.0,21.0,122.0,493517.9,8553.17,0.48630783758262514,712.7641666666667,8.254111171104139
8.2,9.14,19.0,12.96,19.0,1.15,1.65,1.0,12,109.77,4.575,2,791.72,0.0,0.0,4.9,0.0,802.0,4.625,2515.68,114000.0,0.0,0.0,23.0,129.0,548184.6,14830.183499999996,0.8971553610503281,0.0,0.0
14.0,15.68,19.0,6.51,19.0,1.15,2.35,2.0,10,123.03,4.11,2,850.46,184.34,35024.07,6.8,190.0,802.0,4.11,3035.8,95000.0,0.0,0.0,9.0,135.0,498212.4,8521.6,0.8928571428571429,852.1600000000001,2.0431179990793313
7.76,6.67,19.0,6.51,19.0,1.15,1.65,5.0,14,21.21,2.15,2,850.46,96.44,25653.52,6.62,266.0,802.0,2.15,3689.52,133000.0,85.0,1.0,58.0,132.0,547833.8,11930.24,1.1634182908545727,852.16,12.131319039340882
5.64,9.27,19.0,6.51,19.0,1.15,2.35,2.0,16,70.43,7.79,2,850.46,178.95,54399.77,6.47,304.0,802.0,3.99,4318.4,167200.0,0.0,0.0,12.0,122.0,626745.2,13636.0,0.6084142394822006,852.25,13.726965857343446
